DatasetID,DatasetName,URL,FileName,File size ,Details/Comments,SubjectArea,CREDIT/ACKNOWLEDGEMENT,Dataset available?,Student Group List (unique values in drop down list),FORM to complete to make Dataset request
ds001,Lettuce Growth Days Analysis,https://www.kaggle.com/datasets/jurijsruko/lettuce,lettuce_dataset.csv,101.81 kB,Lettuce growth,AGRICULTURE,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds002,Student Depression Dataset,https://www.kaggle.com/datasets/adilshamim8/student-depression-dataset,student_depression_dataset.csv(2.9 MB),2.9 MB,High School Mental Health,HEALTH,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds003,Loan Approval Classification Dataset,https://www.kaggle.com/datasets/taweilo/loan-approval-classification-data,loan_data.csv(3.61 MB),3.61 MB,Loan Approval,FINANCE,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds004,Remote Work & Mental Health 🌍🧠,https://www.kaggle.com/datasets/waqi786/remote-work-and-mental-health,Impact_of_Remote_Work_on_Mental_Health.csv(59,598 kB,Physical Modes of Work,EMPLOYMENT/ENVIRONMENTAL,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds005,Unemployment rates by Metropolitan Statistical Area 1990-2016,https://data.world/garyhoov/unemployment-rate-by-city,Unemployment rates by Metropolitan Statistical Area 1990-2016.xlsx,7.28 MB,Unemployment rates in US - split by metropolitan area and by year frm 1990 - 2016,ECONOMY,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds006,Mental Health in Tech Survey summary,https://data.world/quanticdata/mental-health-in-tech-survey,survey.csv,296.57 KB,Results from mental health survey for workers in tech industry in US,HEALTH,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds007,Stockport Secondary School Attendance and Free School Meals,https://data.world/datagov-uk/9aa522bb-bab4-4352-9e76-a47bd32139fc,secondary-free-school-meals-csv-1.csv AND secondary-attendance-csv-2.csv,19.55 KB,Attendance and free meal eligibility for secondary school students in Stockport.,EDUCATION,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds008,Activity History,https://data.world/jarnoma/activity-history,ACTIVITIESdata.csv,64.45 KB,Different type of physical activity data with heart rate and calories burned,HEALTH,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds009,Olympic medals & host cities summary,https://data.world/ian/olympic-medals-host-cities,"Summer Olympics medal count, participation, hosting - Sheet2.csv",2.43 KB,"Number of times each country has hosted the Summer olympics, medals won and games played.",SPORTS,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
ds010,[CONTENT WARNING] Breast Cancer Wisconsin summary,https://data.world/health/breast-cancer-wisconsin,breast-cancer-wisconsin-data/data.csv,122.27 KB,Characteristics of cell nuclei from breast cancer screenings.,HEALTH,All reports to include acknowledgement of the original source/authors,Yes,,https://forms.office.com/e/fQTPbS2skJ
